cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.385807665,0.5,TRUE,4
1,0.435807665,0.5016,TRUE,5
2,0.485807665,0.5032,TRUE,7
3,0.53396778,0.5052,TRUE,8
4,0.579871711,0.508,TRUE,8
5,0.622238958,0.5112,TRUE,8
6,0.664238958,0.5144,TRUE,12
7,0.706203379,0.5176,TRUE,12
8,0.744490123,0.5224,TRUE,14
9,0.778978122,0.5272,TRUE,15
10,0.812978122,0.5328,TRUE,17
11,0.846978122,0.5388,TRUE,19
12,0.878293379,0.5456,TRUE,21
13,0.904293379,0.5532,TRUE,22
14,0.927919449,0.5616,TRUE,25
15,0.948865124,0.5704,FALSE,25
16,0.898865124,0.5788,FALSE,25
17,0.848865124,0.5864,FALSE,22
18,0.798865124,0.5932,FALSE,21
19,0.748865124,0.5932,FALSE,19
20,0.698865124,0.5932,FALSE,17
21,0.648865124,0.5932,FALSE,0
22,0.598865124,0.5932,FALSE,0
23,0.548865124,0.5932,FALSE,0
24,0.498865124,0.5932,FALSE,0
25,0.448865124,0.5932,FALSE,0
26,0.398865124,0.5932,FALSE,0
27,0.348865124,0.5932,FALSE,0
28,0.298865124,0.5932,FALSE,0
29,0.248865124,0.5932,FALSE,0
30,0.198865124,0.5932,TRUE,0
31,0.248865124,0.5932,TRUE,0
32,0.298865124,0.5932,TRUE,0
33,0.348865124,0.5932,TRUE,0
34,0.398865124,0.5932,TRUE,0
35,0.448865124,0.5932,TRUE,0
36,0.498865124,0.5932,TRUE,0
37,0.548865124,0.5932,TRUE,0
38,0.598865124,0.5932,TRUE,0
39,0.648865124,0.5932,TRUE,0
40,0.698865124,0.5932,TRUE,17
41,0.748865124,0.5932,TRUE,19
42,0.798865124,0.6,TRUE,21
43,0.848865124,0.6076,TRUE,22
44,0.898865124,0.616,TRUE,25
45,0.948865124,0.6248,FALSE,25
46,0.898865124,0.6332,FALSE,25
47,0.848865124,0.6408,FALSE,22
48,0.798865124,0.6476,FALSE,21
49,0.748865124,0.6476,FALSE,19
50,0.698865124,0.6476,FALSE,17
51,0.648865124,0.6476,FALSE,0
52,0.598865124,0.6476,FALSE,0
53,0.548865124,0.6476,FALSE,0
54,0.498865124,0.6476,FALSE,0
55,0.448865124,0.6476,FALSE,0
56,0.398865124,0.6476,FALSE,0
57,0.348865124,0.6476,FALSE,0
58,0.298865124,0.6476,FALSE,0
59,0.248865124,0.6476,FALSE,0
60,0.198865124,0.6476,TRUE,0
61,0.248865124,0.6476,TRUE,0
62,0.298865124,0.6476,TRUE,0
63,0.348865124,0.6476,TRUE,0
64,0.398865124,0.6476,TRUE,0
65,0.448865124,0.6476,TRUE,0
66,0.498865124,0.6476,TRUE,0
67,0.548865124,0.6476,TRUE,0
68,0.598865124,0.6476,TRUE,0
69,0.648865124,0.6476,TRUE,0
70,0.698865124,0.6476,TRUE,17
71,0.748865124,0.6476,TRUE,19
72,0.798865124,0.6544,TRUE,21
73,0.848865124,0.662,TRUE,22
74,0.898865124,0.6704,TRUE,25
75,0.948865124,0.6792,FALSE,25
76,0.898865124,0.6876,FALSE,25
77,0.848865124,0.6952,FALSE,22
78,0.798865124,0.702,FALSE,21
79,0.748865124,0.702,FALSE,19
80,0.698865124,0.702,FALSE,17
81,0.648865124,0.702,FALSE,0
82,0.598865124,0.702,FALSE,0
83,0.548865124,0.702,FALSE,0
84,0.498865124,0.702,FALSE,0
85,0.448865124,0.702,FALSE,0
86,0.398865124,0.702,FALSE,0
87,0.348865124,0.702,FALSE,0
88,0.298865124,0.702,FALSE,0
89,0.248865124,0.702,FALSE,0
90,0.198865124,0.702,TRUE,0
91,0.248865124,0.702,TRUE,0
92,0.298865124,0.702,TRUE,0
93,0.348865124,0.702,TRUE,0
94,0.398865124,0.702,TRUE,0
95,0.448865124,0.702,TRUE,0
96,0.498865124,0.702,TRUE,0
97,0.548865124,0.702,TRUE,0
98,0.598865124,0.702,TRUE,0
99,0.648865124,0.702,TRUE,0
100,0.698865124,0.702,TRUE,17
101,0.748865124,0.702,TRUE,19
102,0.798865124,0.7088,TRUE,21
103,0.848865124,0.7164,TRUE,22
104,0.898865124,0.7248,TRUE,25
105,0.948865124,0.7336,FALSE,25
106,0.898865124,0.742,FALSE,25
107,0.848865124,0.7496,FALSE,22
108,0.798865124,0.7564,FALSE,21
109,0.748865124,0.7564,FALSE,19
110,0.698865124,0.7564,FALSE,17
111,0.648865124,0.7564,FALSE,0
112,0.598865124,0.7564,FALSE,0
113,0.548865124,0.7564,FALSE,0
114,0.498865124,0.7564,FALSE,0
115,0.448865124,0.7564,FALSE,0
116,0.398865124,0.7564,FALSE,0
117,0.348865124,0.7564,FALSE,0
118,0.298865124,0.7564,FALSE,0
119,0.248865124,0.7564,FALSE,0
120,0.198865124,0.7564,TRUE,0
121,0.248865124,0.7564,TRUE,0
122,0.298865124,0.7564,TRUE,0
123,0.348865124,0.7564,TRUE,0
124,0.398865124,0.7564,TRUE,0
125,0.448865124,0.7564,TRUE,0
126,0.498865124,0.7564,TRUE,0
127,0.548865124,0.7564,TRUE,0
128,0.598865124,0.7564,TRUE,0
129,0.648865124,0.7564,TRUE,0
130,0.698865124,0.7564,TRUE,17
131,0.748865124,0.7564,TRUE,19
132,0.798865124,0.7632,TRUE,21
133,0.848865124,0.7708,TRUE,22
134,0.898865124,0.7792,TRUE,25
135,0.948865124,0.788,FALSE,25
136,0.898865124,0.7964,FALSE,25
137,0.848865124,0.804,FALSE,22
138,0.798865124,0.8108,FALSE,21
139,0.748865124,0.8108,FALSE,19
140,0.698865124,0.8108,FALSE,17
141,0.648865124,0.8108,FALSE,0
142,0.598865124,0.8108,FALSE,0
143,0.548865124,0.8108,FALSE,0
144,0.498865124,0.8108,FALSE,0
145,0.448865124,0.8108,FALSE,0
146,0.398865124,0.8108,FALSE,0
147,0.348865124,0.8108,FALSE,0
148,0.298865124,0.8108,FALSE,0
149,0.248865124,0.8108,FALSE,0
150,0.198865124,0.8108,TRUE,0
151,0.248865124,0.8108,TRUE,0
152,0.298865124,0.8108,TRUE,0
153,0.348865124,0.8108,TRUE,0
154,0.398865124,0.8108,TRUE,0
155,0.448865124,0.8108,TRUE,0
156,0.498865124,0.8108,TRUE,0
157,0.548865124,0.8108,TRUE,0
158,0.598865124,0.8108,TRUE,0
159,0.648865124,0.8108,TRUE,0
160,0.698865124,0.8108,TRUE,17
161,0.748865124,0.8108,TRUE,19
162,0.798865124,0.8176,TRUE,21
163,0.848865124,0.8252,TRUE,22
164,0.898865124,0.8336,TRUE,25
165,0.948865124,0.8424,FALSE,25
166,0.898865124,0.8492,FALSE,25
167,0.848865124,0.8552,FALSE,22
168,0.798865124,0.86,FALSE,21
169,0.748865124,0.86,FALSE,19
170,0.698865124,0.86,FALSE,17
171,0.648865124,0.86,FALSE,0
172,0.598865124,0.86,FALSE,0
173,0.548865124,0.86,FALSE,0
